fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging,
OK that just happened Cory Booker said shithole on TV,53,10,1,7,1,1,0,0,0,0,,"{""ADJP"": {""JJ"": 1, ""ADJP#SBAR"": 1}, ""WHNP"": {""WDT"": 1}, ""VP"": {""VBD#NP#PP"": 1, ""VBD#SBAR"": 1}, ""S"": {""ADVP#VP"": 1}, ""SBAR"": {""S"": 1, ""WHNP#S"": 1}, ""ROOT"": {""ADJP"": 1}}",0.0,0.754,0.246,"{""!"": 1, ""O"": 1, ""R"": 1, ""V"": 2, ""^"": 2, ""N"": 2, ""P"": 1}","['{""!"": 1, ""O"": 1, ""R"": 1, ""V"": 2, ""^"": 2, ""N"": 2, ""P"": 1}']"
There are effective forms of public protest and less effective forms. Tonight's debate has been repeatedly interrupted by some of the less effective forms.,155,24,1,11,0,1,0,0,0,0,,"{""NP"": {""EX"": 1, ""JJ#NNS"": 1, ""JJ#NN"": 1, ""UCP#NNS"": 1, ""NNP#POS"": 1, ""NP#NN"": 1, ""DT"": 1, ""DT#ADJP#NNS"": 1}, ""ADJP"": {""RBR#JJ"": 2}, ""UCP"": {""NP#CC#ADJP"": 1}, ""VP"": {""VBP#NP"": 1, ""ADVP#VBN#PP"": 1, ""VBN#VP"": 1, ""VBZ#VP"": 1}}",0.129,0.585,0.286,"{""X"": 1, ""V"": 4, ""A"": 6, ""N"": 5, ""P"": 3, ""&"": 1, "","": 2, ""S"": 1, ""R"": 1, ""D"": 2}","['{""X"": 1, ""V"": 4, ""A"": 6, ""N"": 5, ""P"": 3, ""&"": 1, "","": 2, ""S"": 1, ""R"": 1, ""D"": 2}']"
"I saw someone note that Kamala Harris's talents are less immediately evident and her presentation less effective the more into the weeds she gets on policy, and *more* effective when she is speaking rhetorically or working through a narrative. There's probably some truth to that.",280,45,1,24,0,1,1,0,0,0,,"{""NP"": {""NNP#NNP#POS"": 1, ""NP#NNS"": 1, ""DT#NNS"": 1, ""QP"": 1, ""NP#,#CC#NP#X"": 1, ""NP#RRC"": 1, ""EX"": 1, ""DT"": 1}, ""ADVP"": {""RBR"": 1}, ""ADJP"": {""RB#JJ"": 1, ""RBR#JJ"": 1, ""JJ"": 1}, ""VP"": {""VBP#ADVP#ADJP"": 1, ""VBP#SBAR"": 1, ""VBD#SBAR"": 1, ""VBG#ADVP"": 1, ""VBG#PP"": 1, ""VP#CC#VP"": 1, ""VBZ#VP"": 1, ""VBZ#PP"": 1, ""VBZ#ADVP#NP"": 1}, ""S"": {""NP#ADJP"": 1, ""S#CC#S#SBAR#."": 1}, ""SBAR"": {""IN#S"": 1, ""S"": 1, ""WHADVP#S"": 1, ""X#S"": 1}, ""X"": {""DT#JJR#PP"": 1, ""SYM"": 1}, ""QP"": {""CD#JJR"": 1}, ""WHADVP"": {""WRB"": 1}, ""RRC"": {""ADJP#SBAR"": 1}}",0.0,0.781,0.219,"{""O"": 4, ""V"": 6, ""N"": 8, ""P"": 5, ""^"": 1, ""Z"": 1, ""A"": 7, ""R"": 4, ""&"": 3, ""D"": 5, "","": 5, ""L"": 1}","['{""O"": 4, ""V"": 6, ""N"": 8, ""P"": 5, ""^"": 1, ""Z"": 1, ""A"": 7, ""R"": 4, ""&"": 3, ""D"": 5, "","": 5, ""L"": 1}']"
Is it just me or are none of the Democrats *speaking well* tonight?,67,13,1,9,0,1,0,0,0,0,,"{""NP"": {""JJ"": 1, ""DT#NNPS"": 1, ""NP#PP#X"": 1, ""RB"": 1, ""NP#VP"": 1, ""NP#SBAR"": 1}, ""ADVP"": {""CC"": 1}, ""PP"": {""RB#FRAG"": 1}, ""X"": {""SYM"": 2}, ""FRAG"": {""X#NP"": 1}, ""VP"": {""VBG#PP"": 1, ""VBP#NP"": 1}, ""S"": {""NP#ADVP#VP"": 1}, ""SBAR"": {""S"": 1}, ""SQ"": {""VBZ#NP#NP#."": 1}, ""ROOT"": {""SQ"": 1}}",0.0,1.0,0.0,"{""V"": 3, ""O"": 2, ""R"": 3, ""&"": 1, ""N"": 2, ""P"": 1, ""D"": 1, "","": 3}","['{""V"": 3, ""O"": 2, ""R"": 3, ""&"": 1, ""N"": 2, ""P"": 1, ""D"": 1, "","": 3}']"
This is absolutely sickening,28,4,1,2,0,1,0,0,1,0,,"{""NP"": {""DT"": 1}, ""ADJP"": {""RB#JJ"": 1}, ""VP"": {""VBZ#ADJP"": 1}}",0.552,0.448,0.0,"{""O"": 1, ""V"": 1, ""R"": 1, ""A"": 1}","['{""O"": 1, ""V"": 1, ""R"": 1, ""A"": 1}']"
Rescinding medals from military attorneys who were just doing their jobs? What the hell is wrong with you? Is this some kind of preview to you punishing the scores of brave public servants now investigating your years of criminal activity and rank disloyalty to the United States?,280,47,1,26,0,1,0,0,1,0,,"{""NP"": {""JJ#NNS"": 2, ""PRP$#NNS"": 2, ""NP#SBAR"": 1, ""NP#PP#."": 1, ""DT"": 1, ""DT#NNS"": 1, ""ADJP#NNS"": 1, ""JJ#NN#CC#NN#NN"": 1, ""DT#NNP#NNPS"": 1}, ""WHNP"": {""WP"": 1, ""WP#DT#NN"": 1}, ""VP"": {""VBG#NP"": 1, ""VBD#ADVP#VP"": 1, ""VBG#NP#PP"": 1, ""VBG#S"": 1}, ""S"": {""NP#ADVP#VP"": 1}, ""SBAR"": {""WHNP#S"": 1}, ""PP"": {""TO#S"": 1}, ""ROOT"": {""NP"": 1, ""SBARQ"": 1, ""SQ"": 1}, ""ADJP"": {""JJ#PP"": 1, ""JJ#JJ"": 1}, ""SQ"": {""VBZ#ADJP"": 1, ""VBZ#NP#NP#."": 1}, ""SBARQ"": {""WHNP#SQ#."": 1}}",0.244,0.657,0.099,"{""V"": 8, ""N"": 12, ""P"": 7, ""A"": 5, ""O"": 4, ""R"": 2, ""D"": 7, "","": 3, ""&"": 1, ""^"": 1}","['{""V"": 8, ""N"": 12, ""P"": 7, ""A"": 5, ""O"": 4, ""R"": 2, ""D"": 7, "","": 3, ""&"": 1, ""^"": 1}']"
(LATE AFTERNOON MUSIC):,23,3,1,0,20,1,0,0,1,0,,"{""NP"": {""-LRB-#NNP#NNP#NNP#-RRB-"": 1, ""NP#:"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{"","": 2, ""A"": 1, ""N"": 2}","['{"","": 2, ""A"": 1, ""N"": 2}']"
"Uncle Blazer (By the way, I don't mean that personally, I mean that no one should waste their time following on Twitter someone who they think has any kind of secret agenda and is unwilling to be transparent about what they're feeling and thinking. What's the point in spending time on that?)",292,52,1,29,18,1,0,1,0,0,,"{""NP"": {""NNP#NN"": 1, ""NP#SBAR"": 1, ""NP#PRN"": 1, ""JJ#NN"": 1, ""WP"": 1, ""VBG#NN"": 1, ""DT"": 1}, ""PP"": {""VBG#PP"": 1, ""IN#SBAR"": 1}, ""WHNP"": {""WP"": 2}, ""VP"": {""VBP"": 1, ""VB#NP#PP#SBAR"": 1, ""MD#VP"": 1, ""VBP#SBAR"": 1, ""VB#SBAR"": 1, ""VBP#RB#VP"": 1, ""VBZ#NP"": 2, ""VBG#CC#VBG"": 1, ""VBP#VP"": 1, ""VB#ADJP"": 1, ""VBZ#ADJP"": 1, ""VP#CC#VP"": 1}, ""S"": {""ADVP#,#NP#VP"": 1, ""NP#VP#.#-RRB-"": 1}, ""SBAR"": {""WHNP#S"": 2, ""IN#S"": 2, ""S"": 1}, ""PRN"": {""-LRB-#PP#,#NP"": 1}, ""ADJP"": {""JJ#PP"": 1, ""JJ#S"": 1}}",0.093,0.879,0.028,"{""^"": 3, "","": 6, ""P"": 8, ""D"": 5, ""N"": 8, ""O"": 7, ""V"": 13, ""R"": 1, ""A"": 3, ""&"": 2, ""L"": 2}","['{""^"": 3, "","": 6, ""P"": 8, ""D"": 5, ""N"": 8, ""O"": 7, ""V"": 13, ""R"": 1, ""A"": 3, ""&"": 2, ""L"": 2}']"
"Uncle Blazer You don't understand how I think. If I see something I think is unfair, it becomes my focus. I don't do anything but transparency. I don't secretly develop agendas. What you're hearing from me is exactly what I'm feeling/thinking. If you doubt that, you should read someone else.",292,50,1,24,18,1,0,1,0,0,,"{""NP"": {""NNP#NNP#PRP"": 1, ""NP#SBAR"": 1, ""DT"": 1}, ""WHADVP"": {""WRB"": 1}, ""VP"": {""VBP"": 1, ""VB#SBAR"": 1, ""VBP#RB#VP"": 2, ""VBZ#ADJP"": 1, ""VBP#SBAR"": 1, ""VBP#NP"": 2, ""VBZ#NP"": 1, ""VB#UCP"": 1, ""VBP#RB#ADVP#VP"": 1, ""VBG#PP"": 1, ""VBP#VP"": 2, ""VBG"": 1, ""VBZ#SBAR"": 1, ""VB#S"": 1, ""MD#VP"": 1}, ""S"": {""SBAR#,#NP#VP#."": 2, ""SBAR#VP#."": 1, ""NP#ADJP"": 1}, ""SBAR"": {""WHADVP#S"": 1, ""S"": 2, ""IN#S"": 2, ""WHNP#S"": 1, ""WHADJP#S"": 1}, ""ADJP"": {""JJ"": 1, ""NN"": 1, ""RB"": 1}, ""UCP"": {""ADJP#CC#ADVP"": 1}, ""WHNP"": {""WP"": 1}, ""WHADJP"": {""RB#WP"": 1}}",0.11,0.89,0.0,"{""^"": 2, ""O"": 13, ""V"": 17, ""R"": 4, "","": 8, ""P"": 3, ""N"": 6, ""A"": 1, ""D"": 1, ""&"": 1, ""L"": 2}","['{""^"": 2, ""O"": 13, ""V"": 17, ""R"": 4, "","": 8, ""P"": 3, ""N"": 6, ""A"": 1, ""D"": 1, ""&"": 1, ""L"": 2}']"
"1/ It's hard to put into words how stupid and hateful a line this is, and how obvious it makes it that this Washington Post op-ed writer has a deeply *personal* beef with Beto: ""He's squandering his opportunity to even be a deputy secretary in the next Democratic administration.""",280,49,1,31,18,1,0,0,0,0,,{},0.152,0.795,0.053,"{""$"": 1, ""L"": 2, ""A"": 8, ""P"": 6, ""V"": 6, ""N"": 9, ""R"": 4, ""&"": 2, ""D"": 6, ""O"": 3, "","": 7, ""^"": 2}","['{""$"": 1, ""L"": 2, ""A"": 8, ""P"": 6, ""V"": 6, ""N"": 9, ""R"": 4, ""&"": 2, ""D"": 6, ""O"": 3, "","": 7, ""^"": 2}']"
Per usual the attacks on Beto aren't just insipid/false but *truly* vicious. In no sense did Amy have a better night than Beto. I hate how I truly *don't* have a preferred candidate but must keep defending Beto because coverage of him is *that* grotesque.,255,45,1,26,18,1,0,0,1,0,,"{""ADJP"": {""IN#JJ"": 1, ""RB#JJ"": 2, ""RB#RB#JJ"": 1, ""ADJP#CC#RB#ADJP"": 1, ""JJ"": 1}, ""NP"": {""ADJP#DT#NN"": 1, ""DT#JJR#NN"": 1, ""NP#ADJP"": 1, ""DT#JJ#NN"": 1}, ""VP"": {""VBP#RB#ADJP"": 1, ""VBP#RB#ADVP#VP"": 1, ""VBG#SBAR"": 1, ""VBZ#VP"": 1, ""VBG#NP#SBAR"": 1, ""VB#S"": 1, ""MD#VP"": 1, ""VP#CC#VP"": 1, ""VBP#SBAR"": 1}, ""S"": {""S#ADJP"": 1}, ""ROOT"": {""SINV"": 1}, ""SINV"": {""PP#VBD#NP#VP#."": 1}, ""WHADVP"": {""WRB"": 1}, ""X"": {""SYM"": 1}, ""SBAR"": {""IN#X"": 1, ""IN#S"": 1, ""WHADVP#S"": 1}}",0.234,0.628,0.138,"{""P"": 6, ""A"": 6, ""D"": 5, ""N"": 5, ""^"": 4, ""V"": 10, ""R"": 4, ""&"": 2, "","": 9, ""O"": 3}","['{""P"": 6, ""A"": 6, ""D"": 5, ""N"": 5, ""^"": 4, ""V"": 10, ""R"": 4, ""&"": 2, "","": 9, ""O"": 3}']"
"9/ I could easily have swapped out two of the second-most-likely pairings: Warren/Booker --&gt; Warren/Harris Harris/Buttigieg --&gt; Harris/Brown (Sherrod Brown) But it underscores that the number of folks very much ""in"" the conversation at this moment is only eight or so.",274,41,1,22,18,1,0,0,0,0,,"{""NP"": {""CD"": 2, ""DT#JJ#NNS"": 1, ""NNP#NNPS#NNP"": 1, ""NP#:#NP#:#NP"": 1, ""NP#PRN"": 2, ""RB#RB"": 1, ""QP"": 1}, ""PP"": {""IN#S"": 1}, ""VP"": {""VBN#PP"": 1, ""VB#VP"": 1, ""MD#ADVP#VP"": 1, ""VBZ#NP"": 2, ""VBG#NP#``#PP"": 1, ""VBZ#SBAR"": 1}, ""S"": {""S#CC#S#."": 1}, ""PRN"": {"":#S#:"": 1, ""-LRB-#NP#-RRB-"": 1}, ""QP"": {""RB#CD#CC#RB"": 1}, ""SBAR"": {""IN#S"": 1}}",0.0,0.923,0.077,"{""$"": 3, ""O"": 2, ""V"": 5, ""R"": 3, ""T"": 1, ""P"": 5, ""D"": 4, ""A"": 3, ""N"": 5, "","": 6, ""^"": 6, ""G"": 2, ""&"": 2}","['{""$"": 3, ""O"": 2, ""V"": 5, ""R"": 3, ""T"": 1, ""P"": 5, ""D"": 4, ""A"": 3, ""N"": 5, "","": 6, ""^"": 6, ""G"": 2, ""&"": 2}']"
"8/ The too-early likely pairings: Biden/Warren or Biden/Harris Sanders/Harris or Sanders/Klobuchar Warren/Castro or Warren/Booker Harris/O'Rourke or Harris/Buttigieg We see here why, whatever their polling, Buttigieg, O'Rourke, Booker, Castro and Klobuchar remain very relevant.",278,33,1,12,18,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""NNP#CC#NNP#NNP#CC#NNP#NNP#CC#NNP#NNP"": 1, ""NNP#CC#NNP"": 1, ""NP#,#NP#,#NP"": 1, ""NNP#,#NNP#CC#NNP"": 1, ""NP#SBAR"": 1}, ""WHADVP"": {""WRB"": 1}, ""FRAG"": {""NP"": 1, ""NP#:#S#."": 1}, ""SBAR"": {""WDT#FRAG"": 1, ""WHADVP#S"": 1, ""S"": 1}, ""ADJP"": {""RB#JJ"": 1}, ""VP"": {""VBP#ADJP"": 1, ""VBP#ADVP#SBAR"": 1, ""VBZ#:#S"": 1}, ""S"": {"",#SBAR#,#NP#VP"": 1, ""NP#``#NP"": 1, ""NP#ADVP#VP"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""E"": 1, ""D"": 2, ""R"": 4, ""A"": 2, ""N"": 2, "","": 7, ""^"": 13, ""&"": 5, ""O"": 1, ""V"": 2, ""!"": 1}","['{""E"": 1, ""D"": 2, ""R"": 4, ""A"": 2, ""N"": 2, "","": 7, ""^"": 13, ""&"": 5, ""O"": 1, ""V"": 2, ""!"": 1}']"
"A new news report, apropos of my recent thread:",47,9,1,5,17,1,0,0,1,0,,"{""NP"": {""DT#JJ#NN#NN"": 1, ""PRP$#JJ#NN"": 1, ""NP#,#NP#:"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""D"": 2, ""A"": 2, ""N"": 4, "","": 2, ""P"": 1}","['{""D"": 2, ""A"": 2, ""N"": 4, "","": 2, ""P"": 1}']"
"7/ That said, the Democrats don't necessarily expect to win Indiana, and it's not clear Buttigieg has sufficient profile there to win its Democratic primary or to have that win matter. By contrast, if Beto can win the Texas Democratic primary, it'd both show *and* mean something.",280,47,1,27,17,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""DT"": 2, ""DT#NNPS"": 1, ""PRP$#JJ#NN"": 1, ""JJ#NN#S"": 1, ""DT#NNP#JJ#NN"": 1, ""JJ#NN"": 1}, ""VP"": {""VBD"": 1, ""VB#S"": 2, ""VBP#RB#ADVP#VP"": 1, ""ADVP#VP#CC#VP"": 1, ""VBZ#NP"": 1, ""VBZ#RB#ADJP"": 1, ""MD#VP"": 2, ""VB#X"": 1, ""DT#VP#CC#VP"": 1}, ""S"": {""S#,#NP#VP"": 1, ""S#,#CC#S"": 1, ""PP#,#SBAR#,#NP#VP#."": 1}, ""SBAR"": {""S"": 1, ""IN#S"": 1}, ""ADJP"": {""JJ#SBAR"": 1}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1}, ""X"": {""SYM"": 1}}",0.037,0.689,0.274,"{""$"": 1, ""O"": 1, ""V"": 11, "","": 8, ""D"": 3, ""N"": 8, ""R"": 3, ""P"": 6, ""^"": 4, ""&"": 3, ""L"": 3, ""A"": 4}","['{""$"": 1, ""O"": 1, ""V"": 11, "","": 8, ""D"": 3, ""N"": 8, ""R"": 3, ""P"": 6, ""^"": 4, ""&"": 3, ""L"": 3, ""A"": 4}']"
"6/ The question for media in covering Buttigieg is how long his polling can stay in the mid/low single digits before people are talking about him, Beto, and so on as fighting for VPOTUS relevance rather than having great hope of winning other primaries besides their home state's.",280,48,1,23,17,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""DT#JJ#JJ#NNS"": 1, ""NP#,#NP"": 1, ""NNP#NN"": 1, ""JJ#NN"": 1, ""JJ#NNS"": 1}, ""VP"": {""VBG#NP"": 3, ""VBG#PP"": 2, ""VBP#VP"": 1, ""VB#PP#SBAR"": 1, ""MD#VP"": 1, ""VBZ#SBAR"": 1, ""VP#CONJP#VP"": 1, ""VBZ"": 1}, ""S"": {""ADVP#NP#VP"": 1, ""S#,#CC#S"": 1}, ""PP"": {""IN#S"": 3, ""IN#PP"": 1}, ""WHADVP"": {""WRB#RB"": 1}, ""SBAR"": {""IN#S"": 1, ""WHADVP#S"": 1}, ""CONJP"": {""RB#IN"": 1}, ""ADVP"": {""RB#PP"": 1}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.048,0.77,0.182,"{"","": 4, ""D"": 4, ""N"": 10, ""P"": 11, ""V"": 9, ""^"": 3, ""R"": 3, ""A"": 5, ""O"": 1, ""&"": 1}","['{"","": 4, ""D"": 4, ""N"": 10, ""P"": 11, ""V"": 9, ""^"": 3, ""R"": 3, ""A"": 5, ""O"": 1, ""&"": 1}']"
5/ The one thing a viable VPOTUS candidate can't really do is drop out so early that the country gets to know lots of other VPOTUS candidates but not them. An early dropout also makes the VPOTUS candidate look like they're politically weak. So I'd think that Beto is here to stay.,280,52,1,30,17,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""DT#CD#NN"": 1, ""DT#JJ#NNP#NN"": 1, ""NP#SBAR"": 1, ""JJ#NNP#NNS"": 1, ""NP#CONJP#NP"": 1, ""DT#JJ#NN"": 1, ""DT#NNP#NN"": 1}, ""ADVP"": {""RB#RB"": 1, ""ADVP#SBAR"": 1}, ""VP"": {""VB"": 2, ""MD#RB#ADVP#VP"": 1, ""VBZ#S"": 1, ""VB#PRT#ADVP"": 1, ""VBZ#VP"": 1, ""VBP#ADJP"": 1, ""VBP#SBAR"": 1, ""VBZ#SBAR"": 1, ""VBZ#ADVP#S"": 1, ""VB#SBAR"": 1, ""MD#VP"": 1}, ""S"": {""NP#ADVP#VP#."": 1, ""IN#NP#VP#."": 1}, ""SBAR"": {""S"": 2, ""IN#S"": 3}, ""PRT"": {""RP"": 1}, ""CONJP"": {""CC#RB"": 1}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1}, ""ADJP"": {""RB#JJ"": 1}}",0.097,0.845,0.057,"{"","": 4, ""D"": 5, ""$"": 1, ""N"": 7, ""A"": 5, ""^"": 4, ""V"": 11, ""R"": 7, ""T"": 1, ""P"": 5, ""&"": 1, ""O"": 2, ""L"": 2}","['{"","": 4, ""D"": 5, ""$"": 1, ""N"": 7, ""A"": 5, ""^"": 4, ""V"": 11, ""R"": 7, ""T"": 1, ""P"": 5, ""&"": 1, ""O"": 2, ""L"": 2}']"
"4/ Remember too that not only won't Biden or Sanders be VP picks, but whichever of Warren or Harris (or both) comes close to being the candidate but misses may *not* be a viable VPOTUS candidate if the campaign was rough. So Beto is on a list of only 2-4 likely VPOTUS candidates.",280,53,1,30,17,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""NNP#CC#NNP"": 1, ""DT"": 1, ""NP#PRN"": 1, ""DT#JJ#NNP#NN"": 1, ""QP#JJ#NNP#NNS"": 1}, ""WHNP"": {""WDT"": 2, ""WHNP#PP"": 1, ""WHNP#PRN"": 1}, ""CONJP"": {""RB#JJ"": 1}, ""ADVP"": {""RB#CC#RB"": 1}, ""VP"": {""VBZ"": 2, ""VBG#NP"": 1, ""VBZ#ADJP"": 1, ""VB#SBAR"": 1, ""MD#RB#ADVP#VP"": 1, ""CONJP#VP#CC#VP"": 1, ""VBG"": 1, ""VBD#ADJP"": 1, ""VB#NP#SBAR"": 1, ""MD#X#VP"": 1, ""VBZ#PP"": 1}, ""S"": {""RB#VP"": 1, ""IN#NP#VP#."": 1}, ""SBAR"": {""S"": 1, ""WHNP#S"": 2, ""SBAR#,#CC#SBAR"": 1, ""IN#S"": 1}, ""PP"": {""TO#S"": 1}, ""FRAG"": {""CC#NP"": 1}, ""PRN"": {""-LRB-#FRAG#-RRB-"": 1, "":#ADJP"": 1}, ""ADJP"": {""JJ#PP"": 1, ""RB#RB#SBAR"": 1, ""JJ"": 1}, ""X"": {""SYM"": 1, ""X#S"": 1}, ""QP"": {""RB#CD"": 1}}",0.045,0.955,0.0,"{"","": 8, ""V"": 11, ""R"": 4, ""O"": 2, ""^"": 8, ""&"": 5, ""D"": 5, ""P"": 6, ""A"": 5, ""N"": 5, ""$"": 1}","['{"","": 8, ""V"": 11, ""R"": 4, ""O"": 2, ""^"": 8, ""&"": 5, ""D"": 5, ""P"": 6, ""A"": 5, ""N"": 5, ""$"": 1}']"
"3/ Castro hasn't shown he can make a difference in Texas, and frankly it's not clear Ryan has done that with Ohio or that Ohio is even really in play this cycle. The Democrats can get Minnesota sans Klobuchar. So Beto's Texas polling is of paramount importance to the 2020 ticket.",280,51,1,33,17,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""DT"": 1, ""DT#NNPS"": 1, ""NNP#NNP#NNP"": 1, ""NNP#POS"": 1, ""NP#NNP#NN"": 1, ""JJ#NN"": 1, ""DT#CD#NN"": 1}, ""VP"": {""MD#VP"": 2, ""VBN#SBAR"": 1, ""VBZ#RB#VP"": 1, ""VBN#NP"": 1, ""VBZ#VP"": 1, ""VBZ#ADVP#NP"": 1, ""VBZ#RB#ADJP#SBAR"": 1, ""VBZ#PP#PP"": 1}, ""S"": {""ADVP#NP#VP"": 1, ""S#,#CC#S"": 1, ""IN#NP#VP#."": 1}, ""SBAR"": {""S"": 2, ""IN#S"": 1, ""SBAR#CC#SBAR"": 1}, ""ADVP"": {""RB#RB"": 1, ""ADVP#PP"": 1}, ""ADJP"": {""JJ"": 1}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.04,0.865,0.095,"{""^"": 10, ""V"": 11, ""O"": 2, ""D"": 4, ""N"": 6, ""P"": 7, "","": 4, ""&"": 2, ""R"": 4, ""L"": 1, ""A"": 1, ""G"": 1, ""Z"": 1, ""$"": 1}","['{""^"": 10, ""V"": 11, ""O"": 2, ""D"": 4, ""N"": 6, ""P"": 7, "","": 4, ""&"": 2, ""R"": 4, ""L"": 1, ""A"": 1, ""G"": 1, ""Z"": 1, ""$"": 1}']"
"2/ Realize how *small* the (*way* too early) likely POTUS/VPOTUS field is now, given that some folks presently only fit one likely role: POTUS: Biden, Warren, Sanders, Harris, Buttigieg VPOTUS: Warren, Harris, Buttigieg, O'Rourke (TX), Booker, Klobuchar (MN), Castro, Ryan (OH)",277,41,1,13,17,1,0,0,0,0,,{},0.0,0.941,0.059,"{""$"": 2, ""V"": 4, ""R"": 5, "","": 26, ""A"": 4, ""D"": 2, ""N"": 4, ""^"": 18, ""P"": 1, ""!"": 1}","['{""$"": 2, ""V"": 4, ""R"": 5, "","": 26, ""A"": 4, ""D"": 2, ""N"": 4, ""^"": 18, ""P"": 1, ""!"": 1}']"
"1/ The Beto-Trump Texas poll also propels Beto into 2020 relevance no matter where his polls sit now, because he's instantly become one of a small number of (at a minimum) top VP picks in this field. And the VP pick almost *has* to come from this giant, talented Democratic field.",280,51,1,30,16,1,0,0,0,0,,"{""NP"": {""CD"": 2, ""DT#NNP#NNP#NN"": 1, ""CD#NN"": 1, ""PRP$#NNS"": 1, ""DT#JJ#NN"": 1, ""JJ#NNP#NNS"": 1, ""DT#NNP#NN"": 1, ""DT#JJ#,#JJ#JJ#NN"": 1}, ""ADVP"": {""DT#NN"": 1, ""RB#RB"": 1}, ""PP"": {""IN#PRN#NP"": 1}, ""WHADVP"": {""WRB"": 1}, ""PRN"": {""-LRB-#PP#-RRB-"": 1}, ""VP"": {""VBN#NP#PP"": 1, ""VBZ#ADVP#VP"": 1, ""VBP#ADVP#,#SBAR"": 1, ""VBZ#NP#PP#SBAR"": 1, ""VB#PP"": 1, ""VBN#S"": 1, ""VBZ#VP"": 1}, ""S"": {""NP#ADVP#VP"": 1, ""CC#NP#ADVP#VP#."": 1}, ""SBAR"": {""IN#S"": 1, ""ADVP#WHADVP#S"": 1}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.041,0.819,0.14,"{""G"": 1, ""D"": 8, ""^"": 5, ""N"": 7, ""R"": 5, ""P"": 9, ""$"": 2, ""V"": 6, "","": 8, ""L"": 1, ""A"": 6, ""&"": 1}","['{""G"": 1, ""D"": 8, ""^"": 5, ""N"": 7, ""R"": 5, ""P"": 9, ""$"": 2, ""V"": 6, "","": 8, ""L"": 1, ""A"": 6, ""&"": 1}']"
"Seems to me Beto beating Trump by 12 points in Texas is one of the biggest pieces of 2020 news in a while. If Beto can put Texas in play to terrorize the GOP in 2020 the Dems have no choice but to find some way (POTUS, VPOTUS, assured cabinet member) to keep him near to the fold.",280,58,1,41,16,1,0,0,0,0,,"{""NP"": {""ADJP#NNP#NNP#NNP"": 1, ""CD#NNS"": 1, ""CD"": 2, ""DT#JJS#NNS"": 1, ""CD#NN"": 1, ""DT#NNP"": 1, ""DT#NNPS"": 1, ""CD#NN#NN"": 1, ""NP#PRN"": 1, ""NP#CC#S"": 1}, ""PP"": {""IN#PP"": 1}, ""ADJP"": {""JJ#PP"": 1}, ""VP"": {""VBZ#NP"": 1, ""VB#NP#S"": 1, ""MD#VP"": 1, ""VB#NP#PP"": 1, ""VB#S"": 1, ""VBP#NP"": 1}, ""S"": {""SBAR#NP#VP#."": 1}, ""SBAR"": {""IN#S"": 1}, ""PRN"": {""-LRB-#NP#,#NP#,#NP#-RRB-"": 1}}",0.099,0.823,0.078,"{""V"": 11, ""P"": 14, ""O"": 2, ""^"": 7, ""$"": 4, ""N"": 11, ""D"": 7, ""A"": 1, "","": 6, ""&"": 1}","['{""V"": 11, ""P"": 14, ""O"": 2, ""^"": 7, ""$"": 4, ""N"": 11, ""D"": 7, ""A"": 1, "","": 6, ""&"": 1}']"
